Время. с;Лобовая часть;Обмотка;Зубцы;Зазор;Вал ;Корпус
0;35;35;35;35;35;35
1;35.02163;35.022938;35.286755;35.001083;34.994;34.999836
2;35.044914;35.04429;35.17326;35.00054;34.981316;34.99935
3;35.068195;35.06624;34.953087;34.9984;34.973267;34.99907
4;35.091476;35.090347;34.85015;34.995964;34.965164;34.999172
5;35.114758;35.11939;34.91241;34.995377;34.96187;34.9996
6;35.13805;35.152576;35.123478;34.996174;34.9684;35.000336
7;35.16135;35.18273;35.36781;34.998592;34.98285;35.001045
8;35.184658;35.215157;35.281387;35.00065;34.993607;35.00193
9;35.207977;35.247868;35.46198;35.00387;35.00619;35.00264
10;35.231308;35.281685;35.437588;35.007168;35.02991;35.003742
11;35.25465;35.312145;35.528984;35.01148;35.05213;35.00471
12;35.278;35.34204;35.483578;35.015026;35.075386;35.00549
13;35.301353;35.368427;35.879925;35.016876;35.102615;35.00644
14;35.32471;35.388744;36.18679;35.018177;35.129997;35.007145
15;35.34806;35.41081;36.418934;35.020424;35.158558;35.00802
16;35.371414;35.438667;36.517204;35.024067;35.1941;35.00936
17;35.394775;35.470116;36.431656;35.02833;35.235516;35.011013
18;35.418144;35.500584;36.40192;35.033676;35.274345;35.01253
19;35.44152;35.537148;36.34645;35.03851;35.314487;35.01445
20;35.464916;35.575836;36.42994;35.044636;35.35491;35.016445
21;35.488327;35.61437;36.350403;35.051815;35.391068;35.018154
22;35.511753;35.64726;36.341072;35.05893;35.423496;35.019196
23;35.535187;35.675747;36.07851;35.06398;35.452274;35.0201
24;35.558624;35.707333;35.991802;35.067978;35.47607;35.02122
25;35.582077;35.74169;36.282158;35.071407;35.501766;35.022552
26;35.605537;35.77601;36.753666;35.0763;35.52738;35.02391
27;35.629013;35.813503;36.612484;35.080635;35.548336;35.025307
28;35.652504;35.85046;36.648556;35.085197;35.56455;35.0264
29;35.67601;35.885685;36.516422;35.090134;35.588917;35.027637
30;35.699528;35.920673;36.710907;35.095955;35.616985;35.02894
31;35.72306;35.950306;36.89482;35.1032;35.644608;35.02969
32;35.746593;35.977596;37.145565;35.111115;35.672943;35.030293
33;35.770134;36.005024;37.24698;35.119522;35.69533;35.030727
34;35.793674;36.032337;36.95797;35.12799;35.721462;35.031216
35;35.817223;36.061234;37.02781;35.13573;35.74265;35.031654
36;35.84078;36.088966;36.98223;35.142555;35.763298;35.032127
37;35.864338;36.122982;36.67969;35.149982;35.786503;35.033085
38;35.88791;36.156002;36.90469;35.1588;35.808716;35.033806
39;35.91149;36.18688;36.848232;35.168015;35.83222;35.0342
40;35.935078;36.21334;36.61013;35.176113;35.855427;35.034496
41;35.958668;36.2385;36.659843;35.18379;35.871956;35.034668
42;35.98226;36.26321;36.67791;35.191402;35.884697;35.034576
43;36.005856;36.28828;36.693375;35.19856;35.900978;35.03464
44;36.02945;36.310425;36.81479;35.206013;35.91547;35.03441
45;36.05304;36.325947;36.54095;35.215683;35.937527;35.033897
46;36.076622;36.3429;36.76361;35.224857;35.96243;35.033577
47;36.100193;36.358532;36.73196;35.233696;35.9869;35.033188
48;36.12376;36.37428;36.62702;35.241844;36.016747;35.032963
49;36.147316;36.386105;36.61714;35.250237;36.047333;35.032677
50;36.170856;36.396744;36.805454;35.25865;36.084225;35.032475
51;36.194386;36.40804;36.819134;35.266853;36.11905;35.03232
52;36.2179;36.418407;36.506298;35.273838;36.150036;35.032047
53;36.241398;36.430595;36.55305;35.278202;36.16675;35.031754
54;36.264885;36.447662;36.495605;35.28102;36.168365;35.031403
55;36.28837;36.466446;36.572807;35.28445;36.159935;35.030674
56;36.311844;36.48341;36.3522;35.288193;36.148808;35.02971
57;36.335316;36.50216;36.467354;35.292126;36.13515;35.028713
58;36.35878;36.523254;36.545475;35.295994;36.122196;35.027836
59;36.382244;36.546806;36.524757;35.298576;36.10722;35.02724
60;36.40571;36.573795;36.355984;35.300594;36.08917;35.02674
61;36.42918;36.597095;36.22264;35.302387;36.068146;35.025818
62;36.452644;36.61571;36.26007;35.303295;36.039272;35.024532
63;36.476105;36.632847;35.92482;35.30243;36.004185;35.023075
64;36.499557;36.64821;36.07391;35.302433;35.968052;35.021374
65;36.523;36.660816;36.00022;35.302395;35.9381;35.019653
66;36.54643;36.67405;35.94361;35.30242;35.912617;35.018238
67;36.56985;36.690983;35.98105;35.3017;35.891354;35.017242
68;36.593266;36.707005;36.144848;35.301155;35.864475;35.016052
69;36.61667;36.721462;36.38889;35.299862;35.83533;35.0146
70;36.64006;36.733845;36.55632;35.297653;35.808247;35.01326
71;36.663445;36.74853;36.579056;35.294792;35.789764;35.012383
72;36.686817;36.769634;36.63893;35.291645;35.780464;35.012386
73;36.710194;36.795742;36.912746;35.288666;35.782883;35.01318
74;36.73357;36.82561;36.977535;35.285706;35.789692;35.01423
75;36.756954;36.850277;36.709034;35.282402;35.789898;35.014915
76;36.780342;36.876526;36.796352;35.281048;35.79277;35.015648
77;36.80373;36.90341;36.96691;35.280357;35.789227;35.01602
