Время. с;Лобовая часть;Обмотка;Зубцы;Зазор;Вал;Корпус
0;35;35;35;35;35;35
1;35.02163;35.023758;35.0105;35.00085;34.998425;35.00007
2;35.044914;35.047215;35.018898;35.00095;34.998688;35.000084
3;35.0682;35.070835;35.027508;35.00111;34.999115;35.00011
4;35.091488;35.0946;35.036312;35.001324;34.999695;35.00015
5;35.114773;35.118504;35.0453;35.00159;35.000435;35.0002
6;35.138058;35.142536;35.05446;35.00191;35.001324;35.000256
7;35.161346;35.16668;35.06377;35.00229;35.00236;35.000324
8;35.184635;35.190933;35.07323;35.002712;35.003544;35.0004
9;35.207924;35.21528;35.082825;35.00319;35.00487;35.000484
10;35.231216;35.239716;35.092545;35.003716;35.006336;35.000576
11;35.25451;35.264233;35.102383;35.00429;35.00794;35.00067
12;35.2778;35.288822;35.112324;35.004913;35.009678;35.00078
13;35.301098;35.313477;35.122368;35.005585;35.011543;35.00089
14;35.324394;35.338196;35.1325;35.0063;35.013542;35.001003
15;35.34769;35.362965;35.142723;35.007065;35.015663;35.001125
16;35.37099;35.387787;35.15302;35.007874;35.01791;35.00125
17;35.394295;35.41265;35.16339;35.008724;35.02028;35.00138
18;35.417595;35.437557;35.173832;35.00962;35.022766;35.001514
19;35.440903;35.462494;35.184334;35.01056;35.025368;35.001656
20;35.46421;35.487465;35.194893;35.01154;35.028084;35.001797
21;35.48752;35.512466;35.205505;35.01256;35.03091;35.001945
22;35.51083;35.537487;35.216167;35.013622;35.033848;35.002094
23;35.53414;35.56253;35.226875;35.014725;35.036892;35.002247
24;35.557453;35.587593;35.237625;35.015865;35.040043;35.0024
25;35.580772;35.612667;35.248413;35.017044;35.043293;35.00256
26;35.604088;35.637756;35.259235;35.01826;35.046646;35.00272
27;35.62741;35.662857;35.270092;35.019516;35.0501;35.002884
28;35.650734;35.687965;35.28098;35.020805;35.05365;35.003048
29;35.674057;35.713078;35.291893;35.02213;35.057293;35.003216
30;35.697384;35.738194;35.30283;35.02349;35.061028;35.003387
31;35.72071;35.763313;35.313793;35.024887;35.064857;35.00356
32;35.74404;35.788433;35.324776;35.026318;35.068775;35.00373
33;35.767372;35.813553;35.33578;35.027782;35.07278;35.003906
34;35.790707;35.838673;35.3468;35.029278;35.07687;35.004086
35;35.81404;35.863785;35.357838;35.030807;35.081047;35.00426
36;35.83738;35.888893;35.36889;35.032368;35.085304;35.00444
37;35.86072;35.913994;35.37995;35.03396;35.089645;35.004623
38;35.884064;35.93909;35.39103;35.035583;35.094063;35.004807
39;35.907406;35.96418;35.402115;35.037235;35.09856;35.00499
40;35.93075;35.989258;35.41321;35.038918;35.10313;35.005173
41;35.9541;36.014328;35.424316;35.04063;35.10778;35.00536
42;35.97745;36.039387;35.435432;35.04237;35.1125;35.005547
43;36.0008;36.064434;35.446552;35.04414;35.11729;35.005737
44;36.024155;36.08947;35.457676;35.045933;35.122154;35.005924
45;36.04751;36.114494;35.468807;35.04776;35.127087;35.006115
46;36.070866;36.139503;35.479946;35.04961;35.132088;35.006306
47;36.094227;36.1645;35.491085;35.051487;35.137154;35.0065
48;36.117584;36.189484;35.502228;35.053387;35.142284;35.00669
49;36.14095;36.214455;35.513374;35.055317;35.147476;35.006886
50;36.16431;36.23941;35.52452;35.05727;35.152737;35.00708
51;36.18768;36.264347;35.53567;35.05925;35.158054;35.007275
52;36.211044;36.289272;35.54682;35.06125;35.163433;35.007473
53;36.234417;36.31418;35.557972;35.06328;35.16887;35.00767
54;36.257786;36.339073;35.569126;35.065327;35.174366;35.007866
55;36.28116;36.36395;35.580276;35.067398;35.179916;35.008064
